elstat_municipality_code,municipality_name,pop_total_2021,pop_total_2011,pop_men_2021,pop_men_2011,pop_women_2021,pop_women_2011
0702,ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,49674,52127,23243,24721,26431,27406
0703,ΒΟΛΒΗΣ,19812,23478,9726,11742,10086,11736
0704,ΔΕΛΤΑ,45628,45839,22713,22829,22915,23010
0705,ΘΕΡΜΑΪΚΟΥ,45450,50264,21980,24777,23470,25487
0706,ΘΕΡΜΗΣ,55238,53201,26957,26137,28281,27064
0707,ΚΑΛΑΜΑΡΙΑΣ,92238,91518,43224,43169,49014,48349
0708,ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ,105426,101753,50985,49613,54441,52140
0709,ΛΑΓΚΑΔΑ,37072,41103,18277,20358,18795,20745
0710,ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,80851,84741,38330,40406,42521,44335
0711,ΠΑΥΛΟΥ ΜΕΛΑ,99969,99245,48184,48337,51785,50908
0712,ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,72223,70110,34860,34296,37363,35814
0713,ΧΑΛΚΗΔΟΝΟΣ,29951,33673,14718,16755,15233,16918
0714,ΩΡΑΙΟΚΑΣΤΡΟΥ,40114,38317,19912,19492,20202,18825
2801,ΛΕΒΑΔΕΩΝ,29393,31315,14435,15595,14958,15720
2802,ΑΛΙΑΡΤΟΥ - ΘΕΣΠΙΕΩΝ,8778,10887,4453,5622,4325,5265
2803,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ,7602,8188,3831,4152,3771,4036
2804,ΘΗΒΑΙΩΝ,32521,36477,16510,19535,16011,16942
2805,ΟΡΧΟΜΕΝΟΥ,9386,11621,4670,5889,4716,5732
2806,ΤΑΝΑΓΡΑΣ,18427,19432,9699,10609,8728,8823
